0 1.987	1.24161	3.21	-19.4925	
0.01 1.987	1.27224	3.21	-19.4925	
0.02 1.987	1.30189	3.21	-19.4925	
0.03 1.987	1.33055	3.21	-19.4925	
0.04 1.987	1.35824	3.21	-19.4925	
0.05 1.987	1.38494	3.21	-19.4925	
0.06 1.987	1.41067	3.21	-19.4925	
0.07 1.987	1.43541	3.21	-19.4925	
0.08 1.987	1.45917	3.21	-19.4925	
0.09 1.987	1.48195	3.21	-19.4925	
0.1 1.987	1.50375	3.21	-19.4925	
0.11 1.987	1.52457	3.21	-19.4925	
0.12 1.987	1.54441	3.21	-19.4925	
0.13 1.987	1.56326	3.21	-19.4925	
0.14 1.987	1.58114	3.21	-19.4925	
0.15 1.987	1.59803	3.21	-19.4925	
0.16 1.987	1.61395	3.21	-19.4925	
0.17 1.987	1.62888	3.21	-19.4925	
0.18 1.987	1.64283	3.21	-19.4925	
0.19 1.987	1.6558	3.21	-19.4925	
0.2 1.987	1.66779	3.21	-19.4925	
0.21 1.987	1.6788	3.21	-19.4925	
0.22 1.987	1.68883	3.21	-19.4925	
0.23 1.987	1.69787	3.21	-19.4925	
0.24 1.987	1.70594	3.21	-19.4925	
0.25 1.987	1.71302	3.21	-19.4925	
0.26 1.987	1.71913	3.21	-19.4925	
0.27 1.987	1.72425	3.21	-19.4925	
0.28 1.987	1.72839	3.21	-19.4925	
0.29 1.987	1.73155	3.21	-19.4925	
0.3 1.987	1.73373	3.21	-19.4925	
0.31 1.987	1.73493	3.21	-19.4925	
0.32 1.987	1.73515	3.21	-19.4925	
0.33 1.987	1.73438	3.21	-19.4925	
0.34 1.987	1.73264	3.21	-19.4925	
0.35 1.987	1.72991	3.21	-19.4925	
0.36 1.987	1.72621	3.21	-19.4925	
0.37 1.987	1.72152	3.21	-19.4925	
0.38 1.987	1.71585	3.21	-19.4925	
0.39 1.987	1.7092	3.21	-19.4925	
0.4 1.987	1.70157	3.21	-19.4925	
0.41 1.987	1.69296	3.21	-19.4925	
0.42 1.987	1.68337	3.21	-19.4925	
0.43 1.987	1.67279	3.21	-19.4925	
0.44 1.987	1.66124	3.21	-19.4925	
0.45 1.987	1.6487	3.21	-19.4925	
0.46 1.987	1.63519	3.21	-19.4925	
0.47 1.987	1.62069	3.21	-19.4925	
0.48 1.987	1.60521	3.21	-19.4925	
0.49 1.987	1.58875	3.21	-19.4925	
0.5 1.987	1.57131	3.21	-19.4925	
0.51 1.987	1.55289	3.21	-19.4925	
0.52 1.987	1.53349	3.21	-19.4925	
0.53 1.987	1.5131	3.21	-19.4925	
0.54 1.987	1.49174	3.21	-19.4925	
0.55 1.987	1.46939	3.21	-19.4925	
0.56 1.987	1.44607	3.21	-19.4925	
