0 1.987	0.01	1	0	0	0	0	0.19951	19.951	-19.4925	
0.01 1.987	0.02	1	0	0	0	0	0.398038	19.8529	-19.4925	
0.02 1.987	0.03	1	0	0	0	0	0.595586	19.7548	-19.4925	
0.03 1.987	0.04	1	0	0	0	0	0.792152	19.6567	-19.4925	
0.04 1.987	0.05	1	0	0	0	0	0.987738	19.5586	-19.4925	
0.05 1.987	0.06	1	0	0	0	0	1.18234	19.4605	-19.4925	
0.06 1.987	0.07	1	0	0	0	0	1.37597	19.3624	-19.4925	
0.07 1.987	0.08	1	0	0	0	0	1.56861	19.2643	-19.4925	
0.08 1.987	0.09	1	0	0	0	0	1.76027	19.1662	-19.4925	
0.09 1.987	0.1	1	0	0	0	0	1.95095	19.0681	-19.4925	
0.1 1.987	0.11	1	0	0	0	0	2.14065	18.97	-19.4925	
0.11 1.987	0.12	1	0	0	0	0	2.32937	18.8719	-19.4925	
0.12 1.987	0.13	1	0	0	0	0	2.51711	18.7738	-19.4925	
0.13 1.987	0.14	1	0	0	0	0	2.70386	18.6757	-19.4925	
0.14 1.987	0.15	1	0	0	0	0	2.88964	18.5776	-19.4925	
0.15 1.987	0.16	1	0	0	0	0	3.07443	18.4795	-19.4925	
0.16 1.987	0.17	1	0	0	0	0	3.25825	18.3814	-19.4925	
0.17 1.987	0.18	1	0	0	0	0	3.44108	18.2833	-19.4925	
0.18 1.987	0.19	1	0	0	0	0	3.62293	18.1852	-19.4925	
0.19 1.987	0.2	1	0	0	0	0	3.8038	18.0871	-19.4925	
0.2 1.987	0.21	1	0	0	0	0	3.98369	17.989	-19.4925	
0.21 1.987	0.22	1	0	0	0	0	4.1626	17.8909	-19.4925	
0.22 1.987	0.23	1	0	0	0	0	4.34053	17.7928	-19.4925	
0.23 1.987	0.24	1	0	0	0	0	4.51747	17.6947	-19.4925	
0.24 1.987	0.25	1	0	0	0	0	4.69344	17.5966	-19.4925	
0.25 1.987	0.26	1	0	0	0	0	4.86842	17.4985	-19.4925	
0.26 1.987	0.27	1	0	0	0	0	5.04243	17.4004	-19.4925	
0.27 1.987	0.28	1	0	0	0	0	5.21545	17.3023	-19.4925	
0.28 1.987	0.29	1	0	0	0	0	5.38749	17.2042	-19.4925	
0.29 1.987	0.3	1	0	0	0	0	5.55855	17.1061	-19.4925	
0.3 1.987	0.31	1	0	0	0	0	5.72863	17.008	-19.4925	
0.31 1.987	0.32	1	0	0	0	0	5.89773	16.9099	-19.4925	
0.32 1.987	0.33	1	0	0	0	0	6.06585	16.8118	-19.4925	
0.33 1.987	0.34	1	0	0	0	0	6.23298	16.7137	-19.4925	
0.34 1.987	0.35	1	0	0	0	0	6.39914	16.6156	-19.4925	
0.35 1.987	0.36	1	0	0	0	0	6.56431	16.5175	-19.4925	
0.36 1.987	0.37	1	0	0	0	0	6.72851	16.4194	-19.4925	
0.37 1.987	0.38	1	0	0	0	0	6.89172	16.3213	-19.4925	
0.38 1.987	0.39	1	0	0	0	0	7.05395	16.2232	-19.4925	
0.39 1.987	0.4	1	0	0	0	0	7.2152	16.1251	-19.4925	
0.4 1.987	0.41	1	0	0	0	0	7.37547	16.027	-19.4925	
0.41 1.987	0.42	1	0	0	0	0	7.53476	15.9289	-19.4925	
0.42 1.987	0.43	1	0	0	0	0	7.69307	15.8308	-19.4925	
0.43 1.987	0.44	1	0	0	0	0	7.85039	15.7327	-19.4925	
0.44 1.987	0.45	1	0	0	0	0	8.00674	15.6346	-19.4925	
0.45 1.987	0.46	1	0	0	0	0	8.1621	15.5365	-19.4925	
0.46 1.987	0.47	1	0	0	0	0	8.31649	15.4384	-19.4925	
0.47 1.987	0.48	1	0	0	0	0	8.46989	15.3403	-19.4925	
0.48 1.987	0.49	1	0	0	0	0	8.62231	15.2422	-19.4925	
0.49 1.987	0.5	1	0	0	0	0	8.77375	15.1441	-19.4925	
0.5 1.987	0.51	1	0	0	0	0	8.92421	15.046	-19.4925	
0.51 1.987	0.52	1	0	0	0	0	9.07369	14.9479	-19.4925	
0.52 1.987	0.53	1	0	0	0	0	9.22219	14.8498	-19.4925	
0.53 1.987	0.54	1	0	0	0	0	9.3697	14.7517	-19.4925	
0.54 1.987	0.55	1	0	0	0	0	9.51624	14.6536	-19.4925	
0.55 1.987	0.56	1	0	0	0	0	9.66179	14.5555	-19.4925	
0.56 1.987	0.57	1	0	0	0	0	9.80637	14.4574	-19.4925	
0.57 1.987	0.58	1	0	0	0	0	9.94996	14.3593	-19.4925	
0.58 1.987	0.59	1	0	0	0	0	10.0926	14.2612	-19.4925	
0.59 1.987	0.6	1	0	0	0	0	10.2342	14.1631	-19.4925	
0.6 1.987	0.61	1	0	0	0	0	10.3748	14.065	-19.4925	
0.61 1.987	0.62	1	0	0	0	0	10.5145	13.9669	-19.4925	
0.62 1.987	0.63	1	0	0	0	0	10.6532	13.8688	-19.4925	
0.63 1.987	0.64	1	0	0	0	0	10.7909	13.7707	-19.4925	
0.64 1.987	0.65	1	0	0	0	0	10.9276	13.6726	-19.4925	
0.65 1.987	0.66	1	0	0	0	0	11.0634	13.5745	-19.4925	
0.66 1.987	0.67	1	0	0	0	0	11.1981	13.4764	-19.4925	
0.67 1.987	0.68	1	0	0	0	0	11.3319	13.3783	-19.4925	
0.68 1.987	0.69	1	0	0	0	0	11.4647	13.2802	-19.4925	
0.69 1.987	0.7	1	0	0	0	0	11.5966	13.1821	-19.4925	
0.7 1.987	0.71	1	0	0	0	0	11.7274	13.084	-19.4925	
0.71 1.987	0.72	1	0	0	0	0	11.8572	12.9859	-19.4925	
