1.08 1.987	-1.11873	-7.43385	-19.4925	
1.09 1.987	-1.19405	-7.53195	-19.4925	
1.1 1.987	-1.27035	-7.63005	-19.4925	
1.11 1.987	-1.34763	-7.72815	-19.4925	
1.12 1.987	-1.42589	-7.82625	-19.4925	
1.13 1.987	-1.50514	-7.92435	-19.4925	
1.14 1.987	-1.58536	-8.02245	-19.4925	
1.15 1.987	-1.66657	-8.12055	-19.4925	
1.16 1.987	-1.74875	-8.21865	-19.4925	
1.17 1.987	-1.83192	-8.31675	-19.4925	
1.18 1.987	-1.91607	-8.41485	-19.4925	
1.19 1.987	-2.0012	-8.51295	-19.4925	
1.2 1.987	-2.08731	-8.61105	-19.4925	
1.21 1.987	-2.1744	-8.70915	-19.4925	
1.22 1.987	-2.26247	-8.80725	-19.4925	
1.23 1.987	-2.35153	-8.90535	-19.4925	
1.24 1.987	-2.44156	-9.00345	-19.4925	
1.25 1.987	-2.53258	-9.10155	-19.4925	
1.26 1.987	-2.62457	-9.19965	-19.4925	
1.27 1.987	-2.71755	-9.29775	-19.4925	
1.28 1.987	-2.81151	-9.39585	-19.4925	
1.29 1.987	-2.90645	-9.49395	-19.4925	
1.3 1.987	-3.00237	-9.59205	-19.4925	
1.31 1.987	-3.09927	-9.69015	-19.4925	
1.32 1.987	-3.19715	-9.78825	-19.4925	
1.33 1.987	-3.29602	-9.88635	-19.4925	
1.34 1.987	-3.39586	-9.98445	-19.4925	
1.35 1.987	-3.49669	-10.0825	-19.4925	
1.36 1.987	-3.59849	-10.1806	-19.4925	
1.37 1.987	-3.70128	-10.2788	-19.4925	
1.38 1.987	-3.80505	-10.3769	-19.4925	
1.39 1.987	-3.9098	-10.475	-19.4925	
1.4 1.987	-4.01553	-10.5731	-19.4925	
1.41 1.987	-4.12224	-10.6712	-19.4925	
1.42 1.987	-4.22993	-10.7693	-19.4925	
1.43 1.987	-4.33861	-10.8674	-19.4925	
1.44 1.987	-4.44826	-10.9655	-19.4925	
1.45 1.987	-4.5589	-11.0636	-19.4925	
1.46 1.987	-4.67051	-11.1617	-19.4925	
1.47 1.987	-4.78311	-11.2598	-19.4925	
1.48 1.987	-4.89669	-11.3579	-19.4925	
1.49 1.987	-5.01125	-11.456	-19.4925	
1.5 1.987	-5.12679	-11.5541	-19.4925	
1.51 1.987	-5.24331	-11.6522	-19.4925	
1.52 1.987	-5.36081	-11.7503	-19.4925	
1.53 1.987	-5.4793	-11.8484	-19.4925	
1.54 1.987	-5.59876	-11.9465	-19.4925	
1.55 1.987	-5.71921	-12.0446	-19.4925	
1.56 1.987	-5.84063	-12.1427	-19.4925	
1.57 1.987	-5.96304	-12.2408	-19.4925	
1.58 1.987	-6.08643	-12.3389	-19.4925	
1.59 1.987	-6.2108	-12.437	-19.4925	
1.6 1.987	-6.33615	-12.5351	-19.4925	
1.61 1.987	-6.46248	-12.6332	-19.4925	
1.62 1.987	-6.58979	-12.7313	-19.4925	
1.63 1.987	-6.71809	-12.8294	-19.4925	
1.64 1.987	-6.84736	-12.9275	-19.4925	
1.65 1.987	-6.97762	-13.0256	-19.4925	
1.66 1.987	-7.10885	-13.1237	-19.4925	
1.67 1.987	-7.24107	-13.2218	-19.4925	
1.68 1.987	-7.37427	-13.3199	-19.4925	
1.69 1.987	-7.50845	-13.418	-19.4925	
1.7 1.987	-7.64361	-13.5161	-19.4925	
1.71 1.987	-7.77975	-13.6142	-19.4925	
1.72 1.987	-7.91687	-13.7123	-19.4925	
1.73 1.987	-8.05498	-13.8104	-19.4925	
1.74 1.987	-8.19406	-13.9085	-19.4925	
1.75 1.987	-8.33413	-14.0066	-19.4925	
1.76 1.987	-8.47517	-14.1047	-19.4925	
1.77 1.987	-8.6172	-14.2028	-19.4925	
1.78 1.987	-8.76021	-14.3009	-19.4925	
1.79 1.987	-8.9042	-14.399	-19.4925	
1.8 1.987	-9.04917	-14.4971	-19.4925	
1.81 1.987	-9.19512	-14.5952	-19.4925	
1.82 1.987	-9.34205	-14.6933	-19.4925	
1.83 1.987	-9.48997	-14.7914	-19.4925	
1.84 1.987	-9.63886	-14.8895	-19.4925	
1.85 1.987	-9.78874	-14.9876	-19.4925	
1.86 1.987	-9.93959	-15.0857	-19.4925	
1.87 1.987	-10.0914	-15.1838	-19.4925	
1.88 1.987	-10.2443	-15.2819	-19.4925	
1.89 1.987	-10.3981	-15.38	-19.4925	
1.9 1.987	-10.5528	-15.4781	-19.4925	
1.91 1.987	-10.7086	-15.5762	-19.4925	
1.92 1.987	-10.8653	-15.6743	-19.4925	
1.93 1.987	-11.0231	-15.7724	-19.4925	
1.94 1.987	-11.1818	-15.8705	-19.4925	
1.95 1.987	-11.3414	-15.9686	-19.4925	
1.96 1.987	-11.5021	-16.0667	-19.4925	
1.97 1.987	-11.6638	-16.1648	-19.4925	
1.98 1.987	-11.8264	-16.2629	-19.4925	
1.99 1.987	-11.99	-16.361	-19.4925	
2 1.987	-12.1546	-16.4591	-19.4925	
2.01 1.987	-12.3202	-16.5572	-19.4925	
2.02 1.987	-12.4867	-16.6553	-19.4925	
2.03 1.987	-12.6542	-16.7534	-19.4925	
2.04 1.987	-12.8228	-16.8515	-19.4925	
2.05 1.987	-12.9923	-16.9496	-19.4925	
2.06 1.987	-13.1627	-17.0477	-19.4925	
2.07 1.987	-13.3342	-17.1458	-19.4925	
2.08 1.987	-13.5066	-17.2439	-19.4925	
2.09 1.987	-13.6801	-17.342	-19.4925	
